alarm_id,incident_id,timestamp,device_id,alarm_type,severity,alarm_text,vendor,technology,acknowledged,cleared
ALM000018,INC0003,2026-03-01 07:37:58,DEV0120,packet_loss,major,Packet loss threshold exceeded,Cisco,5G,False,True
ALM000019,INC0003,2026-03-01 07:31:12,DEV0117,service_degraded,critical,Service quality degradation detected,Nokia,Fiber,False,False
ALM000020,INC0003,2026-03-01 07:30:44,DEV0117,packet_loss,major,Packet loss threshold exceeded,Nokia,Fiber,True,False
ALM000021,INC0003,2026-03-01 07:41:41,DEV0120,link_down,critical,Link down detected on uplink interface,Cisco,5G,True,True
ALM000022,INC0003,2026-03-01 07:37:10,DEV0117,device_unreachable,major,Device is not reachable by network management system,Nokia,Fiber,True,False
ALM000023,INC0003,2026-03-01 07:36:01,DEV0117,packet_loss,major,Packet loss threshold exceeded,Nokia,Fiber,False,True
ALM000024,INC0004,2026-03-01 22:23:07,DEV0086,latency_high,minor,Latency threshold exceeded,Huawei,4G,False,True
ALM000025,INC0004,2026-03-01 22:12:41,DEV0085,memory_high,minor,Memory utilization exceeded threshold,Ericsson,4G,False,True
ALM000026,INC0004,2026-03-01 22:18:39,DEV0088,memory_high,major,Memory utilization exceeded threshold,Juniper,IP_MPLS,True,False
ALM000027,INC0004,2026-03-01 22:12:36,DEV0087,latency_high,major,Latency threshold exceeded,Juniper,5G,False,True
ALM000028,INC0005,2026-03-01 05:34:20,DEV0020,link_down,major,Link down detected on uplink interface,Nokia,5G,True,True
ALM000029,INC0005,2026-03-01 05:30:05,DEV0020,service_degraded,major,Service quality degradation detected,Nokia,5G,True,True
ALM000030,INC0005,2026-03-01 05:38:29,DEV0020,link_down,critical,Link down detected on uplink interface,Nokia,5G,False,True
ALM000031,INC0005,2026-03-01 05:37:15,DEV0023,device_unreachable,critical,Device is not reachable by network management system,Juniper,IP_MPLS,False,True
ALM000032,INC0005,2026-03-01 05:29:36,DEV0024,service_degraded,major,Service quality degradation detected,Huawei,Fiber,True,False
ALM000033,INC0005,2026-03-01 05:33:28,DEV0020,packet_loss,major,Packet loss threshold exceeded,Nokia,5G,False,True
ALM000034,INC0005,2026-03-01 05:27:05,DEV0020,device_unreachable,critical,Device is not reachable by network management system,Nokia,5G,False,True
ALM000035,INC0005,2026-03-01 05:26:07,DEV0020,device_unreachable,critical,Device is not reachable by network management system,Nokia,5G,True,True
ALM000036,INC0005,2026-03-01 05:26:32,DEV0023,device_unreachable,critical,Device is not reachable by network management system,Juniper,IP_MPLS,False,True
ALM000037,INC0005,2026-03-01 05:37:25,DEV0024,device_unreachable,major,Device is not reachable by network management system,Huawei,Fiber,False,True
ALM000038,INC0006,2026-03-01 11:33:08,DEV0003,device_unreachable,major,Device is not reachable by network management system,Nokia,Fiber,False,False
ALM000039,INC0006,2026-03-01 11:30:39,DEV0006,device_unreachable,critical,Device is not reachable by network management system,Nokia,4G,False,False
ALM000040,INC0006,2026-03-01 11:36:58,DEV0002,link_down,major,Link down detected on uplink interface,Cisco,5G,True,True
ALM000041,INC0006,2026-03-01 11:41:25,DEV0002,power_alarm,major,Power supply issue detected at site,Cisco,5G,False,True
ALM000042,INC0006,2026-03-01 11:32:14,DEV0003,device_unreachable,critical,Device is not reachable by network management system,Nokia,Fiber,False,True
ALM000043,INC0006,2026-03-01 11:33:45,DEV0006,link_down,critical,Link down detected on uplink interface,Nokia,4G,False,True
ALM000044,INC0006,2026-03-01 11:42:47,DEV0002,power_alarm,major,Power supply issue detected at site,Cisco,5G,True,True
ALM000045,INC0006,2026-03-01 11:41:51,DEV0002,power_alarm,critical,Power supply issue detected at site,Cisco,5G,True,True
ALM000046,INC0006,2026-03-01 11:37:12,DEV0003,link_down,major,Link down detected on uplink interface,Nokia,Fiber,True,False
ALM000047,INC0007,2026-03-01 20:36:02,DEV0105,link_down,major,Link down detected on uplink interface,Huawei,Fiber,False,False
ALM000048,INC0007,2026-03-01 20:43:13,DEV0105,memory_high,major,Memory utilization exceeded threshold,Huawei,Fiber,False,True
ALM000049,INC0007,2026-03-01 20:39:42,DEV0105,link_down,major,Link down detected on uplink interface,Huawei,Fiber,True,True
ALM000050,INC0007,2026-03-01 20:36:51,DEV0105,cpu_high,critical,CPU utilization exceeded threshold,Huawei,Fiber,False,True
ALM000051,INC0008,2026-03-01 04:16:10,DEV0009,latency_high,major,Latency threshold exceeded,Cisco,Fiber,True,True
ALM000052,INC0008,2026-03-01 04:24:43,DEV0011,cpu_high,major,CPU utilization exceeded threshold,Ericsson,IP_MPLS,True,True
ALM000053,INC0008,2026-03-01 04:26:13,DEV0010,latency_high,minor,Latency threshold exceeded,Nokia,Fiber,False,False
ALM000054,INC0008,2026-03-01 04:19:04,DEV0012,packet_loss,minor,Packet loss threshold exceeded,Nokia,Fiber,False,False
ALM000055,INC0009,2026-03-01 19:47:23,DEV0062,cpu_high,major,CPU utilization exceeded threshold,Huawei,5G,True,True
ALM000056,INC0009,2026-03-01 19:43:15,DEV0062,memory_high,critical,Memory utilization exceeded threshold,Huawei,5G,True,False
ALM000057,INC0009,2026-03-01 19:43:10,DEV0062,link_down,major,Link down detected on uplink interface,Huawei,5G,True,False
ALM000058,INC0009,2026-03-01 19:49:28,DEV0062,cpu_high,critical,CPU utilization exceeded threshold,Huawei,5G,False,True
ALM000059,INC0009,2026-03-01 19:56:59,DEV0062,cpu_high,critical,CPU utilization exceeded threshold,Huawei,5G,True,False
ALM000060,INC0010,2026-03-01 09:56:38,DEV0013,power_alarm,critical,Power supply issue detected at site,Ericsson,Fiber,False,True
ALM000061,INC0010,2026-03-01 10:03:43,DEV0014,service_degraded,critical,Service quality degradation detected,Juniper,5G,False,False
ALM000062,INC0010,2026-03-01 09:53:34,DEV0015,service_degraded,critical,Service quality degradation detected,Huawei,5G,False,False
ALM000063,INC0010,2026-03-01 09:57:41,DEV0016,power_alarm,critical,Power supply issue detected at site,Ericsson,Fiber,True,False
ALM000064,INC0010,2026-03-01 10:01:24,DEV0018,device_unreachable,major,Device is not reachable by network management system,Cisco,4G,False,True
ALM000065,INC0011,2026-03-01 21:50:18,DEV0011,config_mismatch,major,Configuration mismatch detected against expected baseline,Ericsson,IP_MPLS,True,False
ALM000066,INC0011,2026-03-01 21:43:10,DEV0012,service_degraded,minor,Service quality degradation detected,Nokia,Fiber,True,False
ALM000067,INC0011,2026-03-01 21:47:06,DEV0009,latency_high,major,Latency threshold exceeded,Cisco,Fiber,True,True
ALM000068,INC0011,2026-03-01 21:54:18,DEV0010,config_mismatch,minor,Configuration mismatch detected against expected baseline,Nokia,Fiber,False,True
ALM000069,INC0012,2026-03-01 22:59:02,DEV0038,device_unreachable,critical,Device is not reachable by network management system,Nokia,5G,True,True
ALM000070,INC0012,2026-03-01 23:05:41,DEV0042,service_degraded,major,Service quality degradation detected,Juniper,IP_MPLS,True,False
ALM000071,INC0012,2026-03-01 22:58:31,DEV0037,device_unreachable,critical,Device is not reachable by network management system,Ericsson,Microwave,True,False
ALM000072,INC0012,2026-03-01 23:05:56,DEV0042,device_unreachable,critical,Device is not reachable by network management system,Juniper,IP_MPLS,False,False
ALM000073,INC0012,2026-03-01 22:55:48,DEV0038,service_degraded,critical,Service quality degradation detected,Nokia,5G,True,True
ALM000074,INC0012,2026-03-01 22:56:45,DEV0042,link_down,major,Link down detected on uplink interface,Juniper,IP_MPLS,True,False
ALM000075,INC0013,2026-03-01 05:34:28,DEV0013,link_down,major,Link down detected on uplink interface,Ericsson,Fiber,True,False
ALM000076,INC0013,2026-03-01 05:34:39,DEV0018,device_unreachable,major,Device is not reachable by network management system,Cisco,4G,True,False
ALM000077,INC0013,2026-03-01 05:41:26,DEV0018,service_degraded,major,Service quality degradation detected,Cisco,4G,True,False
ALM000078,INC0013,2026-03-01 05:34:45,DEV0018,device_unreachable,major,Device is not reachable by network management system,Cisco,4G,False,True
ALM000079,INC0013,2026-03-01 05:41:21,DEV0014,device_unreachable,major,Device is not reachable by network management system,Juniper,5G,True,False
ALM000080,INC0013,2026-03-01 05:46:17,DEV0013,service_degraded,critical,Service quality degradation detected,Ericsson,Fiber,False,False
ALM000081,INC0013,2026-03-01 05:40:52,DEV0018,link_down,major,Link down detected on uplink interface,Cisco,4G,False,True
ALM000082,INC0014,2026-03-01 07:40:33,DEV0102,cpu_high,minor,CPU utilization exceeded threshold,Nokia,IP_MPLS,True,False
ALM000083,INC0014,2026-03-01 07:34:11,DEV0099,cpu_high,major,CPU utilization exceeded threshold,Huawei,IP_MPLS,False,True
ALM000084,INC0014,2026-03-01 07:36:56,DEV0101,cpu_high,minor,CPU utilization exceeded threshold,Ericsson,IP_MPLS,False,False
ALM000085,INC0014,2026-03-01 07:42:32,DEV0099,packet_loss,minor,Packet loss threshold exceeded,Huawei,IP_MPLS,True,True
ALM000086,INC0014,2026-03-01 07:30:35,DEV0102,utilization_high,minor,Interface utilization exceeded threshold,Nokia,IP_MPLS,True,False
ALM000087,INC0015,2026-03-01 10:46:25,DEV0114,device_unreachable,critical,Device is not reachable by network management system,Cisco,IP_MPLS,True,True
ALM000088,INC0015,2026-03-01 10:53:46,DEV0109,packet_loss,critical,Packet loss threshold exceeded,Nokia,IP_MPLS,False,True
ALM000089,INC0015,2026-03-01 10:52:49,DEV0109,packet_loss,major,Packet loss threshold exceeded,Nokia,IP_MPLS,True,True
ALM000090,INC0015,2026-03-01 10:59:17,DEV0110,link_down,critical,Link down detected on uplink interface,Nokia,Fiber,False,True
ALM000091,INC0015,2026-03-01 10:46:51,DEV0110,device_unreachable,major,Device is not reachable by network management system,Nokia,Fiber,True,True
ALM000092,INC0015,2026-03-01 10:59:40,DEV0114,packet_loss,critical,Packet loss threshold exceeded,Cisco,IP_MPLS,False,False
ALM000093,INC0015,2026-03-01 11:00:10,DEV0109,packet_loss,major,Packet loss threshold exceeded,Nokia,IP_MPLS,False,True
ALM000094,INC0016,2026-03-01 10:56:49,DEV0069,cpu_high,minor,CPU utilization exceeded threshold,Juniper,IP_MPLS,True,False
ALM000095,INC0016,2026-03-01 10:48:41,DEV0068,cpu_high,major,CPU utilization exceeded threshold,Juniper,Fiber,False,True
ALM000096,INC0016,2026-03-01 10:48:38,DEV0071,utilization_high,major,Interface utilization exceeded threshold,Ericsson,IP_MPLS,False,False
ALM000097,INC0016,2026-03-01 10:46:34,DEV0070,latency_high,major,Latency threshold exceeded,Juniper,IP_MPLS,True,False
ALM000098,INC0016,2026-03-01 10:45:05,DEV0069,packet_loss,major,Packet loss threshold exceeded,Juniper,IP_MPLS,False,False
ALM000099,INC0016,2026-03-01 10:51:05,DEV0068,utilization_high,minor,Interface utilization exceeded threshold,Juniper,Fiber,True,True
ALM000100,INC0016,2026-03-01 10:57:08,DEV0071,cpu_high,minor,CPU utilization exceeded threshold,Ericsson,IP_MPLS,True,False
ALM000101,INC0017,2026-03-01 15:44:05,DEV0049,service_degraded,minor,Service quality degradation detected,Cisco,5G,False,False
ALM000102,INC0017,2026-03-01 15:47:19,DEV0051,latency_high,major,Latency threshold exceeded,Cisco,Fiber,True,False
ALM000103,INC0017,2026-03-01 15:39:29,DEV0051,packet_loss,minor,Packet loss threshold exceeded,Cisco,Fiber,False,False
ALM000104,INC0017,2026-03-01 15:53:20,DEV0049,packet_loss,major,Packet loss threshold exceeded,Cisco,5G,False,True
ALM000105,INC0017,2026-03-01 15:45:43,DEV0051,latency_high,major,Latency threshold exceeded,Cisco,Fiber,True,True
ALM000106,INC0017,2026-03-01 15:53:47,DEV0051,packet_loss,major,Packet loss threshold exceeded,Cisco,Fiber,False,True
ALM000107,INC0017,2026-03-01 15:45:28,DEV0049,service_degraded,minor,Service quality degradation detected,Cisco,5G,False,True
ALM000108,INC0018,2026-03-01 09:10:59,DEV0104,utilization_high,minor,Interface utilization exceeded threshold,Cisco,IP_MPLS,False,False
ALM000109,INC0018,2026-03-01 09:12:14,DEV0106,cpu_high,minor,CPU utilization exceeded threshold,Huawei,IP_MPLS,True,False
ALM000110,INC0018,2026-03-01 09:03:58,DEV0105,latency_high,major,Latency threshold exceeded,Huawei,Fiber,True,True
ALM000111,INC0018,2026-03-01 09:02:13,DEV0104,latency_high,major,Latency threshold exceeded,Cisco,IP_MPLS,True,True
ALM000112,INC0018,2026-03-01 09:00:09,DEV0106,packet_loss,major,Packet loss threshold exceeded,Huawei,IP_MPLS,False,True
ALM000113,INC0018,2026-03-01 09:09:56,DEV0104,packet_loss,minor,Packet loss threshold exceeded,Cisco,IP_MPLS,False,False
ALM000114,INC0018,2026-03-01 09:11:16,DEV0106,packet_loss,major,Packet loss threshold exceeded,Huawei,IP_MPLS,True,False
ALM000115,INC0019,2026-03-01 07:38:49,DEV0051,device_unreachable,major,Device is not reachable by network management system,Cisco,Fiber,False,False
ALM000116,INC0019,2026-03-01 07:39:06,DEV0051,link_down,critical,Link down detected on uplink interface,Cisco,Fiber,True,True
ALM000117,INC0019,2026-03-01 07:42:35,DEV0052,cpu_high,critical,CPU utilization exceeded threshold,Nokia,IP_MPLS,True,False
ALM000118,INC0019,2026-03-01 07:30:10,DEV0051,memory_high,major,Memory utilization exceeded threshold,Cisco,Fiber,False,True
ALM000119,INC0020,2026-03-01 03:45:48,DEV0104,packet_loss,major,Packet loss threshold exceeded,Cisco,IP_MPLS,False,False
ALM000120,INC0020,2026-03-01 03:51:25,DEV0106,packet_loss,critical,Packet loss threshold exceeded,Huawei,IP_MPLS,True,False
ALM000121,INC0020,2026-03-01 03:51:26,DEV0104,packet_loss,major,Packet loss threshold exceeded,Cisco,IP_MPLS,False,False
ALM000122,INC0020,2026-03-01 03:48:45,DEV0106,device_unreachable,critical,Device is not reachable by network management system,Huawei,IP_MPLS,False,True
ALM000123,INC0020,2026-03-01 03:49:44,DEV0104,packet_loss,major,Packet loss threshold exceeded,Cisco,IP_MPLS,True,False
ALM000124,INC0020,2026-03-01 03:52:19,DEV0106,service_degraded,critical,Service quality degradation detected,Huawei,IP_MPLS,True,False
ALM000125,INC0020,2026-03-01 03:48:46,DEV0104,service_degraded,major,Service quality degradation detected,Cisco,IP_MPLS,False,True
ALM000126,INC0020,2026-03-01 03:48:07,DEV0106,device_unreachable,critical,Device is not reachable by network management system,Huawei,IP_MPLS,False,False
ALM000127,INC0020,2026-03-01 03:55:01,DEV0104,device_unreachable,major,Device is not reachable by network management system,Cisco,IP_MPLS,False,False
ALM000128,INC0020,2026-03-01 03:49:01,DEV0106,link_down,critical,Link down detected on uplink interface,Huawei,IP_MPLS,True,False
ALM000129,INC0020,2026-03-01 03:55:19,DEV0104,device_unreachable,major,Device is not reachable by network management system,Cisco,IP_MPLS,False,False
ALM000130,INC0020,2026-03-01 03:56:43,DEV0106,service_degraded,major,Service quality degradation detected,Huawei,IP_MPLS,False,False
ALM000131,INC0021,2026-03-01 13:05:17,DEV0042,latency_high,minor,Latency threshold exceeded,Juniper,IP_MPLS,True,True
ALM000132,INC0021,2026-03-01 13:03:02,DEV0042,service_degraded,minor,Service quality degradation detected,Juniper,IP_MPLS,True,True
ALM000133,INC0021,2026-03-01 13:05:43,DEV0042,service_degraded,minor,Service quality degradation detected,Juniper,IP_MPLS,False,True
ALM000134,INC0021,2026-03-01 13:04:52,DEV0041,service_degraded,minor,Service quality degradation detected,Ericsson,Fiber,False,True
ALM000135,INC0021,2026-03-01 13:13:05,DEV0042,latency_high,major,Latency threshold exceeded,Juniper,IP_MPLS,True,False
ALM000136,INC0021,2026-03-01 13:10:26,DEV0042,config_mismatch,major,Configuration mismatch detected against expected baseline,Juniper,IP_MPLS,False,True
ALM000137,INC0021,2026-03-01 13:15:53,DEV0042,packet_loss,major,Packet loss threshold exceeded,Juniper,IP_MPLS,True,False
ALM000138,INC0022,2026-03-01 23:18:48,DEV0060,packet_loss,major,Packet loss threshold exceeded,Cisco,IP_MPLS,True,True
ALM000139,INC0022,2026-03-01 23:14:56,DEV0056,service_degraded,major,Service quality degradation detected,Cisco,IP_MPLS,True,False
ALM000140,INC0022,2026-03-01 23:22:50,DEV0056,packet_loss,critical,Packet loss threshold exceeded,Cisco,IP_MPLS,True,True
ALM000141,INC0022,2026-03-01 23:14:27,DEV0060,device_unreachable,major,Device is not reachable by network management system,Cisco,IP_MPLS,True,True
ALM000142,INC0022,2026-03-01 23:26:14,DEV0060,packet_loss,critical,Packet loss threshold exceeded,Cisco,IP_MPLS,False,False
ALM000143,INC0022,2026-03-01 23:27:40,DEV0056,packet_loss,major,Packet loss threshold exceeded,Cisco,IP_MPLS,False,False
ALM000144,INC0022,2026-03-01 23:26:01,DEV0056,link_down,critical,Link down detected on uplink interface,Cisco,IP_MPLS,True,True
ALM000145,INC0022,2026-03-01 23:15:40,DEV0060,service_degraded,critical,Service quality degradation detected,Cisco,IP_MPLS,True,True
ALM000146,INC0022,2026-03-01 23:13:02,DEV0060,link_down,critical,Link down detected on uplink interface,Cisco,IP_MPLS,False,False
ALM000147,INC0023,2026-03-01 10:01:33,DEV0042,packet_loss,major,Packet loss threshold exceeded,Juniper,IP_MPLS,True,False
ALM000148,INC0023,2026-03-01 10:02:12,DEV0042,service_degraded,major,Service quality degradation detected,Juniper,IP_MPLS,True,False
ALM000149,INC0023,2026-03-01 10:02:57,DEV0038,device_unreachable,major,Device is not reachable by network management system,Nokia,5G,True,True
ALM000150,INC0023,2026-03-01 10:02:13,DEV0040,service_degraded,critical,Service quality degradation detected,Ericsson,Fiber,True,True
ALM000151,INC0023,2026-03-01 10:08:29,DEV0041,service_degraded,major,Service quality degradation detected,Ericsson,Fiber,True,False
ALM000152,INC0023,2026-03-01 10:05:38,DEV0042,service_degraded,major,Service quality degradation detected,Juniper,IP_MPLS,False,False
ALM000153,INC0023,2026-03-01 10:08:22,DEV0042,link_down,critical,Link down detected on uplink interface,Juniper,IP_MPLS,False,False
ALM000154,INC0023,2026-03-01 10:04:54,DEV0038,link_down,critical,Link down detected on uplink interface,Nokia,5G,True,False
ALM000155,INC0023,2026-03-01 10:09:01,DEV0040,link_down,critical,Link down detected on uplink interface,Ericsson,Fiber,False,False
ALM000156,INC0023,2026-03-01 10:11:50,DEV0041,device_unreachable,major,Device is not reachable by network management system,Ericsson,Fiber,False,True
ALM000157,INC0023,2026-03-01 10:07:58,DEV0042,packet_loss,major,Packet loss threshold exceeded,Juniper,IP_MPLS,False,False
ALM000158,INC0024,2026-03-01 09:06:01,DEV0049,cpu_high,minor,CPU utilization exceeded threshold,Cisco,5G,False,False
ALM000159,INC0024,2026-03-01 09:06:45,DEV0051,packet_loss,major,Packet loss threshold exceeded,Cisco,Fiber,True,False
ALM000160,INC0024,2026-03-01 09:00:58,DEV0052,memory_high,minor,Memory utilization exceeded threshold,Nokia,IP_MPLS,False,True
ALM000161,INC0024,2026-03-01 09:06:03,DEV0049,latency_high,minor,Latency threshold exceeded,Cisco,5G,True,True
ALM000162,INC0025,2026-03-01 17:29:40,DEV0106,memory_high,minor,Memory utilization exceeded threshold,Huawei,IP_MPLS,False,True
ALM000163,INC0025,2026-03-01 17:28:22,DEV0108,cpu_high,minor,CPU utilization exceeded threshold,Juniper,5G,True,False
ALM000164,INC0025,2026-03-01 17:21:04,DEV0103,packet_loss,minor,Packet loss threshold exceeded,Juniper,Microwave,True,True
ALM000165,INC0025,2026-03-01 17:28:24,DEV0105,cpu_high,minor,CPU utilization exceeded threshold,Huawei,Fiber,True,False
ALM000166,INC0025,2026-03-01 17:33:21,DEV0106,service_degraded,major,Service quality degradation detected,Huawei,IP_MPLS,True,False
ALM000167,INC0025,2026-03-01 17:27:30,DEV0108,service_degraded,major,Service quality degradation detected,Juniper,5G,False,False
ALM000168,INC0025,2026-03-01 17:27:03,DEV0103,packet_loss,minor,Packet loss threshold exceeded,Juniper,Microwave,True,False
ALM000169,INC0025,2026-03-01 17:25:32,DEV0105,latency_high,major,Latency threshold exceeded,Huawei,Fiber,True,True
ALM000170,INC0026,2026-03-01 00:06:48,DEV0002,utilization_high,minor,Interface utilization exceeded threshold,Cisco,5G,False,True
ALM000171,INC0026,2026-03-01 00:15:17,DEV0003,utilization_high,minor,Interface utilization exceeded threshold,Nokia,Fiber,False,True
ALM000172,INC0026,2026-03-01 00:06:53,DEV0006,cpu_high,minor,CPU utilization exceeded threshold,Nokia,4G,False,False
ALM000173,INC0026,2026-03-01 00:15:50,DEV0001,cpu_high,minor,CPU utilization exceeded threshold,Nokia,IP_MPLS,True,True
ALM000174,INC0027,2026-03-01 10:43:36,DEV0032,memory_high,critical,Memory utilization exceeded threshold,Nokia,IP_MPLS,False,True
ALM000175,INC0027,2026-03-01 10:41:02,DEV0035,cpu_high,major,CPU utilization exceeded threshold,Cisco,IP_MPLS,False,False
ALM000176,INC0027,2026-03-01 10:29:37,DEV0032,link_down,major,Link down detected on uplink interface,Nokia,IP_MPLS,True,False
ALM000177,INC0027,2026-03-01 10:30:42,DEV0035,device_unreachable,major,Device is not reachable by network management system,Cisco,IP_MPLS,False,True
ALM000178,INC0027,2026-03-01 10:43:51,DEV0032,link_down,major,Link down detected on uplink interface,Nokia,IP_MPLS,True,True
ALM000179,INC0027,2026-03-01 10:34:46,DEV0035,memory_high,major,Memory utilization exceeded threshold,Cisco,IP_MPLS,False,True
ALM000180,INC0027,2026-03-01 10:34:24,DEV0032,cpu_high,major,CPU utilization exceeded threshold,Nokia,IP_MPLS,False,True
ALM000181,INC0027,2026-03-01 10:39:46,DEV0035,device_unreachable,critical,Device is not reachable by network management system,Cisco,IP_MPLS,False,True
ALM000182,INC0028,2026-03-01 16:36:40,DEV0114,link_down,major,Link down detected on uplink interface,Cisco,IP_MPLS,True,False
ALM000183,INC0028,2026-03-01 16:35:29,DEV0114,device_unreachable,major,Device is not reachable by network management system,Cisco,IP_MPLS,True,False
ALM000184,INC0028,2026-03-01 16:41:07,DEV0113,link_down,major,Link down detected on uplink interface,Ericsson,Fiber,False,False
ALM000185,INC0028,2026-03-01 16:44:03,DEV0110,device_unreachable,critical,Device is not reachable by network management system,Nokia,Fiber,False,True
ALM000186,INC0028,2026-03-01 16:36:20,DEV0114,device_unreachable,critical,Device is not reachable by network management system,Cisco,IP_MPLS,False,True
ALM000187,INC0028,2026-03-01 16:38:57,DEV0114,packet_loss,critical,Packet loss threshold exceeded,Cisco,IP_MPLS,False,False
ALM000188,INC0028,2026-03-01 16:46:22,DEV0114,packet_loss,major,Packet loss threshold exceeded,Cisco,IP_MPLS,True,False
ALM000189,INC0028,2026-03-01 16:36:15,DEV0113,service_degraded,critical,Service quality degradation detected,Ericsson,Fiber,False,False
ALM000190,INC0028,2026-03-01 16:46:46,DEV0110,service_degraded,major,Service quality degradation detected,Nokia,Fiber,False,False
ALM000191,INC0028,2026-03-01 16:41:33,DEV0114,service_degraded,critical,Service quality degradation detected,Cisco,IP_MPLS,False,True
ALM000192,INC0028,2026-03-01 16:44:45,DEV0114,device_unreachable,major,Device is not reachable by network management system,Cisco,IP_MPLS,False,False
ALM000193,INC0029,2026-03-01 18:49:41,DEV0056,config_mismatch,minor,Configuration mismatch detected against expected baseline,Cisco,IP_MPLS,True,True
ALM000194,INC0029,2026-03-01 18:58:14,DEV0057,packet_loss,minor,Packet loss threshold exceeded,Juniper,IP_MPLS,True,False
ALM000195,INC0029,2026-03-01 18:55:35,DEV0060,service_degraded,major,Service quality degradation detected,Cisco,IP_MPLS,False,True
ALM000196,INC0029,2026-03-01 18:50:16,DEV0056,config_mismatch,major,Configuration mismatch detected against expected baseline,Cisco,IP_MPLS,False,True
ALM000197,INC0029,2026-03-01 18:46:32,DEV0059,latency_high,major,Latency threshold exceeded,Cisco,5G,False,False
ALM000198,INC0029,2026-03-01 18:48:25,DEV0056,packet_loss,major,Packet loss threshold exceeded,Cisco,IP_MPLS,True,False
ALM000199,INC0030,2026-03-01 18:28:23,DEV0052,service_degraded,critical,Service quality degradation detected,Nokia,IP_MPLS,False,False
ALM000200,INC0030,2026-03-01 18:31:59,DEV0049,service_degraded,critical,Service quality degradation detected,Cisco,5G,True,True
ALM000201,INC0030,2026-03-01 18:38:26,DEV0052,device_unreachable,major,Device is not reachable by network management system,Nokia,IP_MPLS,False,True
ALM000202,INC0030,2026-03-01 18:28:30,DEV0052,link_down,critical,Link down detected on uplink interface,Nokia,IP_MPLS,True,False
ALM000203,INC0030,2026-03-01 18:33:58,DEV0049,service_degraded,major,Service quality degradation detected,Cisco,5G,False,False
ALM000204,INC0030,2026-03-01 18:32:02,DEV0052,power_alarm,critical,Power supply issue detected at site,Nokia,IP_MPLS,True,False
ALM000205,INC0030,2026-03-01 18:34:50,DEV0052,device_unreachable,critical,Device is not reachable by network management system,Nokia,IP_MPLS,False,False
ALM000206,INC0030,2026-03-01 18:26:23,DEV0049,link_down,critical,Link down detected on uplink interface,Cisco,5G,True,True
ALM000207,INC0030,2026-03-01 18:25:58,DEV0052,service_degraded,major,Service quality degradation detected,Nokia,IP_MPLS,True,True
ALM000208,INC0031,2026-03-01 12:51:44,DEV0035,cpu_high,minor,CPU utilization exceeded threshold,Cisco,IP_MPLS,False,False
ALM000209,INC0031,2026-03-01 12:51:04,DEV0032,latency_high,major,Latency threshold exceeded,Nokia,IP_MPLS,True,False
ALM000210,INC0031,2026-03-01 12:48:46,DEV0031,latency_high,minor,Latency threshold exceeded,Juniper,Microwave,True,False
ALM000211,INC0031,2026-03-01 12:51:35,DEV0035,cpu_high,minor,CPU utilization exceeded threshold,Cisco,IP_MPLS,True,False
ALM000212,INC0031,2026-03-01 12:53:17,DEV0032,service_degraded,minor,Service quality degradation detected,Nokia,IP_MPLS,False,True
